1994,106,9
1997,137,36
2003,177,11
1999,145,23
2017,73,16
1983,88,30
1999,101,37
1995,20,13
2007,141,32
2017,39,11
1980,198,20
1999,89,35
2003,63,16
2018,196,10
1982,142,17
2006,47,20
2004,150,16
2013,159,24
2014,190,24
2005,32,8
1987,30,20
1988,104,20
2003,121,31
1981,99,22
1986,163,26
2008,72,31
2016,126,23
1984,164,17
1986,33,24
1983,174,5
1982,39,37
1998,185,16
1998,81,33
1991,92,9
2003,183,34
2011,100,16
2003,16,35
2005,138,11
1989,118,27
2009,17,26
2006,45,23
1990,112,32
1987,91,18
2018,11,35
1994,11,33
2004,76,37
2006,166,27
1995,146,13
1988,153,19
1992,84,37
1982,50,37
1994,147,18
1989,109,32
2015,122,36
1983,193,21
1981,79,10
2015,81,28
2000,198,31
1999,76,40
1994,117,19
1995,150,7
2014,151,29
1995,185,38
1985,14,15
1984,13,28
1985,30,26
2010,80,18
1988,8,38
1992,45,14
2007,115,34
1986,142,32
2003,33,24
2016,13,21
1984,180,14
2001,172,34
1993,139,6
1983,160,35
1992,95,15
2001,113,10
2001,38,37
1992,168,27
2013,19,28
1985,184,22
2006,128,23
2004,74,13
2002,195,22
1989,74,21
2002,38,11
1995,144,24
1993,57,15
1997,121,30
2007,183,20
2011,148,35
1983,134,39
2016,61,23
2004,106,31
1980,118,38
2002,47,32
1989,127,17
1987,141,28
1998,7,27
1987,110,8
2009,12,20
1991,159,20
1989,6,26
2005,28,32
1993,71,31
2010,168,30
1986,110,16
2006,14,23
2003,136,35
2010,65,7
2018,153,34
1981,66,34
2000,66,8
1982,7,36
1989,9,19
2006,163,11
2012,113,35
2006,164,11
2004,126,21
1996,34,6
2009,165,19
1990,126,35
1981,118,40
1998,51,23
1984,126,39
1993,105,40
1998,11,32
2013,198,25
2012,120,32
2018,98,7
1997,169,27
2011,86,32
1987,22,8
2010,2,13
2006,197,27
1990,95,24
2010,34,35
2018,120,35
1983,156,17
2017,2,33
2007,49,14
2016,30,38
1985,162,28
2017,123,17
1989,119,8
2017,148,33
1981,49,32
1980,98,35
2009,187,18
1980,22,21
1989,188,15
1996,78,19
2009,83,10
2011,136,40
1999,126,13
2004,68,11
1982,72,21
1986,119,25
1992,180,17
1993,55,33
2004,171,10
2006,1,16
2001,78,11
2003,173,11
1984,37,7
1993,38,26
2015,56,22
2003,167,38
1991,164,37
1981,194,37
1999,168,5
1986,107,10
2010,62,29
1989,124,26
1996,23,8
2006,144,8
1995,90,34
1981,128,10
2017,45,5
1999,175,34
2007,178,19
2016,133,23
2007,162,14
1997,38,10
1992,64,29
1997,75,37
1994,67,21
2007,198,19
2004,109,17
1994,107,18
2012,145,5
2009,51,36
2003,108,11
2011,169,31
2015,104,39
2003,46,34
1980,155,16
2017,51,39
2011,167,37
2012,68,34
2002,107,27
2004,88,37
2002,24,10
2003,101,29
1991,183,18
2009,158,17
1998,192,36
1998,151,9
2017,109,16
1986,80,30
2004,35,33
1994,188,29
1999,91,28
2010,194,14
2010,109,9
1986,65,18
2007,186,21
1995,195,9
2003,85,35
2014,34,33
1988,102,18
1980,112,9
1986,25,23
1998,117,8
2013,149,15
1985,160,24
2000,75,11
2006,82,11
1983,111,6
1990,6,23
1994,114,32
1988,164,38
1984,51,8
1991,93,18
1988,35,27
2013,141,33
2003,52,35
1983,187,33
1997,54,5
2011,121,14
2016,185,28
1998,54,20
2010,75,26
1997,36,37
2000,143,40
1990,121,33
2005,187,39
2004,199,25
2012,97,22
1989,131,14
2013,28,12
2014,140,7
1998,32,22
2009,197,14
2004,151,35
1989,49,37
1999,60,11
1981,5,38
1993,54,26
2013,55,22
1983,145,25
1992,16,16
1983,151,37
1985,123,25
1996,198,21
2010,141,24
1997,40,12
2010,42,34
1998,124,31
1980,55,33
2011,192,38
1999,139,30
2004,95,7
2013,190,20
2001,96,34
2006,142,6
1992,150,8
1995,136,22
2004,48,9
1998,58,39
1982,77,17
1999,146,23
1986,10,39
1998,50,30
1981,91,39
2017,36,29
1995,98,13
2018,116,8
2008,157,38
1994,200,5
2017,172,18
1987,186,22
1992,140,11
2018,108,40
1988,98,17
1986,23,12
1986,188,10
2005,42,7
1999,88,18
1995,43,14
1997,156,36
1996,45,40
1995,58,18
2005,132,20
2010,131,16
2013,100,15
1981,185,35
1991,66,14
2007,179,10
1989,28,29
1997,175,24
1986,88,31
1983,19,9
2007,13,25
1994,22,39
2011,108,30
2018,175,26
2002,17,40
2000,156,33
2005,54,8
2011,128,32
1990,77,13
1997,12,11
2015,18,19
2004,198,26
2013,122,21
2013,194,33
2009,188,23
1993,76,35
1992,29,22
2006,183,29
2011,194,25
2013,60,21
2011,109,11
1999,31,9
2003,111,23
1980,67,20
2018,80,39
2010,40,18
2010,9,39
2000,16,27
2017,139,23
2013,168,16
1989,168,21
1989,173,33
1995,29,36
2000,60,23
2017,86,23
2016,181,19
2013,144,31
2013,126,37
1990,41,7
2017,38,37
2010,79,9
2015,47,14
2009,138,28
2001,143,17
2016,82,24
1984,149,37
1981,98,32
1991,39,37
2000,72,34
1980,82,18
1980,94,17
1983,38,25
2006,135,17
2015,6,14
1990,40,13
1986,70,15
1999,182,21
2005,108,29
1984,34,37
2007,175,35
2008,82,8
1982,64,22
2012,91,18
2014,39,18
2011,107,5
2016,159,31
2012,7,17
1980,171,19
2008,71,8
2012,6,36
1987,15,16
1987,166,14
2003,152,11
2005,175,19
1982,26,13
1990,39,22
2000,53,14
2007,103,26
1984,159,23
1998,88,18
1989,106,28
2013,148,34
1980,17,24
2012,142,16
2012,77,40
2013,58,14
2001,56,6
1989,172,23
1986,81,25
2009,152,37
2006,94,24
2001,106,25
2014,72,21
2014,142,10
2007,102,20
1989,105,13
2004,92,22
2007,132,5
2017,24,38
1997,113,7
2005,184,13
1980,125,22
2003,66,18
1997,30,35
1983,17,38
1986,48,16
1995,64,17
2004,182,35
1983,66,23
1986,3,12
1999,21,22
1985,161,16
1998,194,12
1982,176,7
2001,67,39
1998,121,25
1994,120,21
2003,157,37
2008,44,30
2017,30,10
2003,18,34
1998,131,27
2002,199,34
2015,150,5
2002,19,32
1980,133,37
1994,187,19
2008,160,16
1980,115,34
2006,107,31
1997,70,14
2014,159,17
1990,78,22
1999,81,34
1988,140,29
2000,37,39
1997,129,23
2001,132,34
1995,83,13
1981,156,27
2001,26,23
2013,41,31
1990,73,39
1991,121,7
1986,169,22
2005,24,9
2016,189,28
1983,104,27
1995,192,25
1992,61,39
2000,45,32
1983,21,27
1982,51,18
2014,158,5
2011,151,21
2005,176,22
1999,49,13
2000,155,21
2016,15,10
2005,23,34
1990,48,28
2011,23,6
2007,124,32
1985,199,12
1981,122,39
2008,109,34
1980,30,15
1991,86,27
1984,43,36
1985,196,18
1989,167,16
1985,104,10
1984,125,31
1992,31,39
1985,188,31
1982,87,7
1995,109,17
1996,39,30
1985,183,34
1993,48,32
2010,198,21
2006,66,8
1989,126,39
2002,80,23
1999,153,22
1984,80,24
2001,47,26
2003,84,38
1995,161,19
1997,35,32
1995,57,21
2011,144,38
2013,142,20
2004,94,24
2002,49,11
2012,139,34
2018,164,30
1989,160,40
2010,149,20
2010,56,32
2015,55,24
2001,146,16
2000,36,23
2011,94,9
1980,64,29
2010,3,17
1996,15,23
1985,100,13
1982,143,6
2018,57,35
2005,103,31
1981,60,38
2015,36,31
2017,49,16
2002,121,17
2015,28,11
1996,51,6
2018,199,32
2016,67,26
2017,115,25
1987,63,35
2002,84,33
2001,179,28
2006,129,30
1991,59,6
2005,46,23
2002,61,14
1999,111,37
2011,129,24
1981,50,16
1998,169,15
1995,9,25
2005,56,5
2000,200,20
1987,36,28
1995,183,39
1980,107,33
1989,129,29
1985,6,21
2000,41,29
2015,90,19
1991,125,35
1997,33,5
2002,45,6
2016,97,21
2002,146,5
1988,55,39
1997,105,31
2007,40,20
1995,74,20
1982,162,12
2012,2,21
1998,38,33
1994,4,28
1986,179,11
2016,112,35
2003,62,17
1987,146,14
2003,61,26
2012,83,29
2009,21,34
1994,172,9
1987,85,17
2005,29,19
2006,126,15
2004,175,15
2004,2,30
1991,29,23
1997,159,18
2008,191,9
2002,109,14
1980,191,21
1997,83,16
1988,182,30
1980,173,21
2001,89,19
2012,52,38
1996,120,7
1996,105,33
2005,195,35
2007,134,13
2013,71,5
1981,182,16
1990,134,16
1983,176,15
1999,103,10
2016,41,19
2002,91,18
2007,52,37
2003,3,40
2018,55,18
2015,129,29
2006,182,16
1990,22,11
1986,112,24
1990,128,33
1989,110,30
2013,97,16
1989,192,9
2017,149,31
1994,20,17
