Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Dinner"	"01/19/2020 08:00 PM CET"	"01/19/2020 09:00 PM CET"	""	""	""
"Lunch"	"01/19/2020 12:00 PM CET"	"01/19/2020 01:00 PM CET"	""	""	""
"Lunch"	"01/20/2020 12:00 PM CET"	"01/20/2020 01:00 PM CET"	""	""	""
"Breakfast"	"01/20/2020 07:00 AM CET"	"01/20/2020 08:30 AM CET"	""	""	""
"Dinner"	"01/20/2020 08:00 PM CET"	"01/20/2020 09:30 PM CET"	""	""	""
"Breakfast"	"01/21/2020 06:30 AM CET"	"01/21/2020 07:30 AM CET"	""	""	""
"Lunch"	"01/21/2020 12:30 PM CET"	"01/21/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/21/2020 08:30 PM CET"	"01/21/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/22/2020 07:00 AM CET"	"01/22/2020 08:00 AM CET"	""	""	""
"Lunch"	"01/22/2020 12:00 PM CET"	"01/22/2020 01:00 PM CET"	""	""	""
"Breakfast"	"01/23/2020 06:30 AM CET"	"01/23/2020 07:30 AM CET"	""	""	""
"Dinner"	"01/22/2020 08:00 PM CET"	"01/22/2020 09:30 PM CET"	""	""	""
"Lunch"	"01/23/2020 01:00 PM CET"	"01/23/2020 02:00 PM CET"	""	""	""
"Lunch"	"01/26/2020 12:30 PM CET"	"01/26/2020 01:30 PM CET"	""	""	""
"Breakfast"	"01/24/2020 06:30 AM CET"	"01/24/2020 07:30 AM CET"	""	""	""
"Lunch"	"01/24/2020 12:00 PM CET"	"01/24/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/23/2020 08:00 PM CET"	"01/23/2020 09:30 PM CET"	""	""	""
"Dinner"	"01/24/2020 09:00 PM CET"	"01/24/2020 10:00 PM CET"	""	""	""
"Breakfast"	"01/25/2020 08:00 AM CET"	"01/25/2020 09:00 AM CET"	""	""	""
"Lunch"	"01/25/2020 01:00 PM CET"	"01/25/2020 02:00 PM CET"	""	""	""
"Dinner"	"01/25/2020 09:00 PM CET"	"01/25/2020 10:00 PM CET"	""	""	""
"Breakfast"	"01/26/2020 07:30 AM CET"	"01/26/2020 09:00 AM CET"	""	""	""
"Dinner"	"01/26/2020 08:30 PM CET"	"01/26/2020 09:30 PM CET"	""	""	""
"Breakfast"	"01/27/2020 07:00 AM CET"	"01/27/2020 08:00 AM CET"	""	""	""
"Breakfast"	"01/28/2020 07:00 AM CET"	"01/28/2020 08:00 AM CET"	""	""	""
"Lunch"	"01/28/2020 12:00 PM CET"	"01/28/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/28/2020 08:00 PM CET"	"01/28/2020 09:00 PM CET"	""	""	""
"Dinner"	"01/27/2020 08:00 PM CET"	"01/27/2020 09:30 PM CET"	""	""	""
"Breakfast"	"01/29/2020 08:00 AM CET"	"01/29/2020 09:30 AM CET"	""	""	""
"Lunch"	"01/29/2020 12:00 PM CET"	"01/29/2020 01:00 PM CET"	""	""	""
"Breakfast"	"01/30/2020 06:00 AM CET"	"01/30/2020 07:00 AM CET"	""	""	""
"Lunch"	"01/27/2020 12:30 PM CET"	"01/27/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/29/2020 08:00 PM CET"	"01/29/2020 09:30 PM CET"	""	""	""
"Lunch"	"01/30/2020 12:30 PM CET"	"01/30/2020 01:30 PM CET"	""	""	""
"Dinner"	"01/30/2020 08:30 PM CET"	"01/30/2020 11:00 PM CET"	""	""	""
"Breakfast"	"01/31/2020 07:30 AM CET"	"01/31/2020 08:30 AM CET"	""	""	""
"Lunch"	"01/31/2020 12:00 PM CET"	"01/31/2020 12:30 PM CET"	""	""	""
"Lunch"	"02/01/2020 02:00 PM CET"	"02/01/2020 03:00 PM CET"	""	""	""
"Dinner"	"02/02/2020 08:00 PM CET"	"02/02/2020 09:00 PM CET"	""	""	""
"Lunch"	"02/02/2020 01:00 PM CET"	"02/02/2020 02:00 PM CET"	""	""	""
"Breakfast"	"02/02/2020 04:30 AM CET"	"02/02/2020 05:30 AM CET"	""	""	""
"Dinner"	"02/01/2020 07:30 PM CET"	"02/01/2020 08:00 PM CET"	""	""	""
"Dinner"	"01/31/2020 08:00 PM CET"	"01/31/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/03/2020 08:30 AM CET"	"02/03/2020 09:30 AM CET"	""	""	""
"Dinner"	"02/03/2020 08:00 PM CET"	"02/03/2020 09:00 PM CET"	""	""	""
"Brekfast"	"02/04/2020 07:30 AM CET"	"02/04/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/04/2020 01:00 PM CET"	"02/04/2020 02:30 PM CET"	""	""	""
"Dinner"	"02/04/2020 08:00 PM CET"	"02/04/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/05/2020 07:00 AM CET"	"02/05/2020 08:00 AM CET"	""	""	""
"Lunch"	"02/05/2020 12:00 PM CET"	"02/05/2020 01:00 PM CET"	""	""	""
"Dinner"	"02/05/2020 08:00 PM CET"	"02/05/2020 09:30 PM CET"	""	""	""
"Breakfast"	"02/06/2020 07:30 AM CET"	"02/06/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/06/2020 12:00 PM CET"	"02/06/2020 01:00 PM CET"	""	""	""
"Dinner"	"02/06/2020 07:30 PM CET"	"02/06/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/07/2020 06:30 AM CET"	"02/07/2020 08:00 AM CET"	""	""	""
"Lunch"	"02/07/2020 12:30 PM CET"	"02/07/2020 01:30 PM CET"	""	""	""
"Dinner"	"02/07/2020 09:00 PM CET"	"02/07/2020 10:00 PM CET"	""	""	""
"Breakfast"	"02/08/2020 10:00 AM CET"	"02/08/2020 10:30 AM CET"	""	""	""
"Dinner"	"02/08/2020 08:00 PM CET"	"02/08/2020 09:00 PM CET"	""	""	""
"Lunch"	"02/09/2020 12:00 PM CET"	"02/09/2020 12:30 PM CET"	""	""	""
"Breakfast"	"02/09/2020 07:30 AM CET"	"02/09/2020 08:30 AM CET"	""	""	""
"Dinner"	"02/09/2020 07:30 PM CET"	"02/09/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/10/2020 07:30 AM CET"	"02/10/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/10/2020 12:00 PM CET"	"02/10/2020 01:30 PM CET"	""	""	""
"Dinner"	"02/10/2020 07:30 PM CET"	"02/10/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/11/2020 07:00 AM CET"	"02/11/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/11/2020 12:30 PM CET"	"02/11/2020 01:30 PM CET"	""	""	""
"Breakfast"	"02/12/2020 07:00 AM CET"	"02/12/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/12/2020 02:00 PM CET"	"02/12/2020 03:00 PM CET"	""	""	""
"Dinner"	"02/12/2020 08:30 PM CET"	"02/12/2020 09:30 PM CET"	""	""	""
"Dinner"	"02/11/2020 07:30 PM CET"	"02/11/2020 08:30 PM CET"	""	""	""
"Breakfast"	"02/13/2020 08:00 AM CET"	"02/13/2020 09:00 AM CET"	""	""	""
"Mc Donald's"	"02/13/2020 05:00 PM CET"	"02/13/2020 05:30 PM CET"	""	""	""
"Dinner"	"02/13/2020 08:30 PM CET"	"02/13/2020 09:30 PM CET"	""	""	""
"Dinner with parents"	"02/14/2020 09:00 PM CET"	"02/14/2020 11:00 PM CET"	""	""	""
"Sushi"	"02/14/2020 01:00 PM CET"	"02/14/2020 02:00 PM CET"	""	""	""
"Breakfast"	"02/14/2020 08:00 AM CET"	"02/14/2020 09:00 AM CET"	""	""	""
"Breakfast"	"02/15/2020 10:00 AM CET"	"02/15/2020 11:30 AM CET"	""	""	""
"Dinner"	"02/15/2020 07:00 PM CET"	"02/15/2020 08:00 PM CET"	""	""	""
"Breakfast"	"02/16/2020 11:00 AM CET"	"02/16/2020 11:30 AM CET"	""	""	""
"Lunch"	"02/16/2020 12:30 PM CET"	"02/16/2020 01:30 PM CET"	""	""	""
"Breakfast"	"02/17/2020 07:00 AM CET"	"02/17/2020 07:30 AM CET"	""	""	""
"Dinner"	"02/17/2020 08:30 PM CET"	"02/17/2020 09:30 PM CET"	""	""	""
"Dinner"	"02/16/2020 09:00 PM CET"	"02/16/2020 10:00 PM CET"	""	""	""
"Breakfast"	"02/18/2020 06:30 AM CET"	"02/18/2020 08:30 AM CET"	""	""	""
"Dinner"	"02/18/2020 08:30 PM CET"	"02/18/2020 10:00 PM CET"	""	""	""
"Eat"	"02/18/2020 12:30 PM CET"	"02/18/2020 01:30 PM CET"	""	""	""
"Breakfast"	"02/19/2020 07:30 AM CET"	"02/19/2020 09:00 AM CET"	""	""	""
"Lunch"	"02/17/2020 12:30 PM CET"	"02/17/2020 02:00 PM CET"	""	""	""
"Dinner"	"02/19/2020 08:30 PM CET"	"02/19/2020 10:00 PM CET"	""	""	""
"Lunch"	"02/19/2020 12:00 PM CET"	"02/19/2020 01:00 PM CET"	""	""	""
"Breakfast"	"02/20/2020 06:30 AM CET"	"02/20/2020 08:00 AM CET"	""	""	""
"Lunch"	"02/20/2020 12:00 PM CET"	"02/20/2020 01:00 PM CET"	""	""	""
"Dinner"	"02/20/2020 08:00 PM CET"	"02/20/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/22/2020 10:00 AM CET"	"02/22/2020 10:30 AM CET"	""	""	""
"Lunch"	"02/21/2020 12:30 PM CET"	"02/21/2020 01:00 PM CET"	""	""	""
"Dinner"	"02/21/2020 09:00 PM CET"	"02/21/2020 10:00 PM CET"	""	""	""
"Lunch"	"02/22/2020 01:30 PM CET"	"02/22/2020 03:00 PM CET"	""	""	""
"Breakfast"	"02/23/2020 05:30 AM CET"	"02/23/2020 06:00 AM CET"	""	""	""
"Dinner"	"02/22/2020 08:00 PM CET"	"02/22/2020 09:00 PM CET"	""	""	""
"Lunch"	"02/23/2020 11:30 AM CET"	"02/23/2020 12:00 PM CET"	""	""	""
"Snack"	"02/23/2020 03:30 PM CET"	"02/23/2020 04:00 PM CET"	""	""	""
"Dinner"	"02/23/2020 07:30 PM CET"	"02/23/2020 09:00 PM CET"	""	""	""
"Breakfast"	"02/24/2020 07:00 AM CET"	"02/24/2020 07:30 AM CET"	""	""	""
"Car"	"02/24/2020 08:00 AM CET"	"02/24/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/24/2020 01:00 PM CET"	"02/24/2020 01:30 PM CET"	""	""	""
"Dinner"	"02/24/2020 07:00 PM CET"	"02/24/2020 08:30 PM CET"	""	""	""
"Breakfast"	"02/25/2020 07:30 AM CET"	"02/25/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/25/2020 01:00 PM CET"	"02/25/2020 01:30 PM CET"	""	""	""
"Dinner"	"02/25/2020 09:00 PM CET"	"02/25/2020 10:30 PM CET"	""	""	""
"Breakfast"	"02/26/2020 07:30 AM CET"	"02/26/2020 08:30 AM CET"	""	""	""
"Lunch"	"02/26/2020 12:00 PM CET"	"02/26/2020 01:00 PM CET"	""	""	""
"Dinner"	"02/26/2020 09:00 PM CET"	"02/26/2020 10:30 PM CET"	""	""	""
"Breakfast"	"02/27/2020 07:00 AM CET"	"02/27/2020 08:00 AM CET"	""	""	""
"Lunch"	"02/27/2020 12:30 PM CET"	"02/27/2020 01:30 PM CET"	""	""	""
"Dinner"	"02/27/2020 08:00 PM CET"	"02/27/2020 10:00 PM CET"	""	""	""
"Lunch"	"02/28/2020 01:00 PM CET"	"02/28/2020 02:00 PM CET"	""	""	""
"Dinner"	"02/28/2020 09:00 PM CET"	"02/28/2020 10:00 PM CET"	""	""	""
"Lunch"	"02/29/2020 01:00 PM CET"	"02/29/2020 02:00 PM CET"	""	""	""
"Dinner"	"02/29/2020 07:30 PM CET"	"02/29/2020 09:00 PM CET"	""	""	""
"Breakfast"	"03/01/2020 06:00 AM CET"	"03/01/2020 07:00 AM CET"	""	""	""
"Lunch"	"03/01/2020 01:00 PM CET"	"03/01/2020 02:00 PM CET"	""	""	""
"Breakfast"	"03/02/2020 06:30 AM CET"	"03/02/2020 07:30 AM CET"	""	""	""
"Lunch"	"03/02/2020 12:30 PM CET"	"03/02/2020 01:30 PM CET"	""	""	""
"Dinner"	"03/01/2020 08:30 PM CET"	"03/01/2020 09:30 PM CET"	""	""	""
"Dinner"	"03/02/2020 08:00 PM CET"	"03/02/2020 09:30 PM CET"	""	""	""
"Breakfast"	"03/03/2020 07:00 AM CET"	"03/03/2020 08:00 AM CET"	""	""	""
"Lunch"	"03/03/2020 01:00 PM CET"	"03/03/2020 02:00 PM CET"	""	""	""
"Dinner"	"03/03/2020 08:00 PM CET"	"03/03/2020 09:00 PM CET"	""	""	""
"Breakfast"	"03/04/2020 07:30 AM CET"	"03/04/2020 08:30 AM CET"	""	""	""
"Lunch"	"03/04/2020 12:30 PM CET"	"03/04/2020 01:30 PM CET"	""	""	""
"Dinner"	"03/04/2020 08:30 PM CET"	"03/04/2020 10:00 PM CET"	""	""	""
"Breakfast"	"03/05/2020 07:30 AM CET"	"03/05/2020 08:30 AM CET"	""	""	""
"Dinner"	"03/05/2020 08:00 PM CET"	"03/05/2020 09:00 PM CET"	""	""	""
"Lunch"	"03/05/2020 12:00 PM CET"	"03/05/2020 01:00 PM CET"	""	""	""
"Lunch"	"03/06/2020 12:00 PM CET"	"03/06/2020 01:30 PM CET"	""	""	""
"Breakfast"	"03/06/2020 09:30 AM CET"	"03/06/2020 10:30 AM CET"	""	""	""
"Dinner"	"03/06/2020 09:00 PM CET"	"03/06/2020 10:00 PM CET"	""	""	""
"Breakfast"	"03/07/2020 07:00 AM CET"	"03/07/2020 08:00 AM CET"	""	""	""
"Lunch"	"03/07/2020 02:00 PM CET"	"03/07/2020 03:00 PM CET"	""	""	""
"Breakfast"	"03/08/2020 06:00 AM CET"	"03/08/2020 06:30 AM CET"	""	""	""
"Lunch"	"03/08/2020 12:00 PM CET"	"03/08/2020 12:30 PM CET"	""	""	""
"Dinner"	"03/07/2020 08:00 PM CET"	"03/07/2020 09:00 PM CET"	""	""	""
"Dinner"	"03/08/2020 06:30 PM CET"	"03/08/2020 07:30 PM CET"	""	""	""
"Lunch"	"03/09/2020 12:00 PM CET"	"03/09/2020 01:00 PM CET"	""	""	""
"Dinner"	"03/09/2020 09:00 PM CET"	"03/09/2020 11:15 PM CET"	""	""	""
"Breakfast"	"03/09/2020 07:30 AM CET"	"03/09/2020 08:30 AM CET"	""	""	""
"Breakfast"	"03/10/2020 08:00 AM CET"	"03/10/2020 09:00 AM CET"	""	""	""
"Lunch"	"03/10/2020 12:30 PM CET"	"03/10/2020 01:30 PM CET"	""	""	""
"Dinner"	"03/10/2020 09:00 PM CET"	"03/10/2020 10:00 PM CET"	""	""	""
"Breakfast"	"03/11/2020 07:30 AM CET"	"03/11/2020 08:30 AM CET"	""	""	""
"Lunch"	"03/11/2020 01:00 PM CET"	"03/11/2020 02:00 PM CET"	""	""	""
"Breakfast"	"03/12/2020 08:30 AM CET"	"03/12/2020 09:30 AM CET"	""	""	""
"Lunch"	"03/12/2020 12:30 PM CET"	"03/12/2020 01:30 PM CET"	""	""	""
"Dinner"	"03/12/2020 08:00 PM CET"	"03/12/2020 09:00 PM CET"	""	""	""
"Dinner"	"03/11/2020 09:00 PM CET"	"03/11/2020 10:00 PM CET"	""	""	""
"Breakfast"	"03/13/2020 09:30 AM CET"	"03/13/2020 10:30 AM CET"	""	""	""
"Dinner"	"03/13/2020 09:00 PM CET"	"03/13/2020 10:00 PM CET"	""	""	""
"Lunch"	"03/13/2020 02:00 PM CET"	"03/13/2020 03:00 PM CET"	""	""	""
"Breakfast"	"03/14/2020 06:30 AM CET"	"03/14/2020 07:30 AM CET"	""	""	""
"Lunch"	"03/14/2020 12:30 PM CET"	"03/14/2020 01:30 PM CET"	""	""	""
"Dinner"	"03/14/2020 08:00 PM CET"	"03/14/2020 09:00 PM CET"	""	""	""
"Breakfast"	"03/15/2020 07:30 AM CET"	"03/15/2020 09:00 AM CET"	""	""	""
"Dinner"	"03/15/2020 08:00 PM CET"	"03/15/2020 09:00 PM CET"	""	""	""
"Lunch"	"03/15/2020 01:00 PM CET"	"03/15/2020 02:00 PM CET"	""	""	""
"Lunch"	"03/16/2020 02:00 PM CET"	"03/16/2020 03:00 PM CET"	""	""	""
"Breakfast"	"03/16/2020 09:00 AM CET"	"03/16/2020 10:00 AM CET"	""	""	""
"Dinner"	"03/16/2020 08:00 PM CET"	"03/16/2020 09:00 PM CET"	""	""	""
"Dinner"	"03/17/2020 08:00 PM CET"	"03/17/2020 09:00 PM CET"	""	""	""
"Lunch"	"03/17/2020 01:00 PM CET"	"03/17/2020 02:00 PM CET"	""	""	""
"Breakfast"	"03/17/2020 09:00 AM CET"	"03/17/2020 10:00 AM CET"	""	""	""
"Breakfast"	"03/18/2020 08:30 AM CET"	"03/18/2020 09:30 AM CET"	""	""	""
"Lunch"	"03/18/2020 01:30 PM CET"	"03/18/2020 02:30 PM CET"	""	""	""
"Lunch"	"03/19/2020 01:30 PM CET"	"03/19/2020 02:30 PM CET"	""	""	""
"Dinner"	"03/18/2020 08:00 PM CET"	"03/18/2020 09:00 PM CET"	""	""	""
"Breakfast"	"03/19/2020 08:00 AM CET"	"03/19/2020 09:00 AM CET"	""	""	""
"Lunch"	"03/20/2020 01:00 PM CET"	"03/20/2020 02:00 PM CET"	""	""	""
"Dinner"	"03/20/2020 07:30 PM CET"	"03/20/2020 09:00 PM CET"	""	""	""
"Dinner"	"03/19/2020 08:00 PM CET"	"03/19/2020 09:30 PM CET"	""	""	""
"Breakfast"	"03/22/2020 08:00 AM CET"	"03/22/2020 09:00 AM CET"	""	""	""
"Breakfast"	"03/21/2020 08:00 AM CET"	"03/21/2020 09:00 AM CET"	""	""	""
"Lunch"	"03/21/2020 01:00 PM CET"	"03/21/2020 02:00 PM CET"	""	""	""
"Dinner"	"03/21/2020 08:00 PM CET"	"03/21/2020 09:00 PM CET"	""	""	""
"Lunch"	"03/22/2020 02:00 PM CET"	"03/22/2020 03:00 PM CET"	""	""	""
"Cooking"	"03/22/2020 01:00 PM CET"	"03/22/2020 02:00 PM CET"	""	""	""
"Breakfast"	"03/23/2020 09:00 AM CET"	"03/23/2020 10:00 AM CET"	""	""	""
"Lunch"	"03/23/2020 01:30 PM CET"	"03/23/2020 03:00 PM CET"	""	""	""
"Dinner"	"03/23/2020 08:00 PM CET"	"03/23/2020 09:30 PM CET"	""	""	""
"Lunch"	"03/24/2020 01:00 PM CET"	"03/24/2020 02:30 PM CET"	""	""	""
"Lunch"	"03/24/2020 08:00 PM CET"	"03/24/2020 09:30 PM CET"	""	""	""
"Breakfast"	"03/25/2020 07:00 AM CET"	"03/25/2020 08:00 AM CET"	""	""	""
"Lunch"	"03/25/2020 01:00 PM CET"	"03/25/2020 02:30 PM CET"	""	""	""
"Dinner"	"03/22/2020 08:00 PM CET"	"03/22/2020 09:30 PM CET"	""	""	""
"Dinner"	"03/25/2020 08:00 PM CET"	"03/25/2020 09:30 PM CET"	""	""	""
"Breakfast"	"03/26/2020 08:00 AM CET"	"03/26/2020 09:00 AM CET"	""	""	""
"Lunch"	"03/26/2020 01:00 PM CET"	"03/26/2020 02:30 PM CET"	""	""	""
"Breakfast"	"03/27/2020 08:00 AM CET"	"03/27/2020 09:00 AM CET"	""	""	""
"Dinner"	"03/26/2020 07:30 PM CET"	"03/26/2020 08:30 PM CET"	""	""	""
"Lunch"	"03/27/2020 01:30 PM CET"	"03/27/2020 02:30 PM CET"	""	""	""
"Breakfast"	"03/28/2020 11:30 AM CET"	"03/28/2020 12:00 PM CET"	""	""	""
"Dinner"	"03/27/2020 08:00 PM CET"	"03/27/2020 09:00 PM CET"	""	""	""
"Dinner"	"03/28/2020 08:00 PM CET"	"03/28/2020 09:00 PM CET"	""	""	""
"Lunch"	"03/28/2020 01:00 PM CET"	"03/28/2020 02:00 PM CET"	""	""	""
"Breakfast"	"03/29/2020 11:00 AM CEST"	"03/29/2020 11:30 AM CEST"	""	""	""
"Dinner"	"03/29/2020 08:00 PM CEST"	"03/29/2020 09:30 PM CEST"	""	""	""
"Lunch"	"03/29/2020 01:30 PM CEST"	"03/29/2020 03:00 PM CEST"	""	""	""
"Dinner"	"03/30/2020 08:00 PM CEST"	"03/30/2020 09:00 PM CEST"	""	""	""
"Lunch"	"03/30/2020 01:00 PM CEST"	"03/30/2020 02:30 PM CEST"	""	""	""
"Breakfast"	"03/30/2020 09:30 AM CEST"	"03/30/2020 10:00 AM CEST"	""	""	""
"Breakfast"	"03/31/2020 07:30 AM CEST"	"03/31/2020 08:30 AM CEST"	""	""	""
"Breakfast"	"04/01/2020 08:30 AM CEST"	"04/01/2020 09:00 AM CEST"	""	""	""
"Dinner"	"03/31/2020 08:00 PM CEST"	"03/31/2020 09:00 PM CEST"	""	""	""
"Lunch"	"03/31/2020 01:00 PM CEST"	"03/31/2020 02:30 PM CEST"	""	""	""
"Lunch"	"04/01/2020 01:00 PM CEST"	"04/01/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/01/2020 08:00 PM CEST"	"04/01/2020 09:30 PM CEST"	""	""	""
"Breakfast"	"04/02/2020 07:30 AM CEST"	"04/02/2020 08:00 AM CEST"	""	""	""
"Lunch"	"04/02/2020 01:00 PM CEST"	"04/02/2020 02:00 PM CEST"	""	""	""
"Breakfast"	"04/03/2020 08:00 AM CEST"	"04/03/2020 08:30 AM CEST"	""	""	""
"Lunch"	"04/03/2020 01:00 PM CEST"	"04/03/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/02/2020 08:00 PM CEST"	"04/02/2020 09:00 PM CEST"	""	""	""
"Dinner"	"04/03/2020 08:00 PM CEST"	"04/03/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/04/2020 08:30 AM CEST"	"04/04/2020 10:00 AM CEST"	""	""	""
"Lunch"	"04/04/2020 01:00 PM CEST"	"04/04/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/04/2020 08:00 PM CEST"	"04/04/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/05/2020 08:30 AM CEST"	"04/05/2020 09:30 AM CEST"	""	""	""
"Lunch"	"04/05/2020 01:00 PM CEST"	"04/05/2020 02:30 PM CEST"	""	""	""
"Dinner"	"04/05/2020 08:00 PM CEST"	"04/05/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/06/2020 07:30 AM CEST"	"04/06/2020 08:30 AM CEST"	""	""	""
"Lunch"	"04/06/2020 01:00 PM CEST"	"04/06/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/06/2020 08:00 PM CEST"	"04/06/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/07/2020 08:30 AM CEST"	"04/07/2020 09:30 AM CEST"	""	""	""
"Dinner"	"04/07/2020 08:00 PM CEST"	"04/07/2020 09:00 PM CEST"	""	""	""
"Lunch"	"04/07/2020 01:00 PM CEST"	"04/07/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/08/2020 08:00 PM CEST"	"04/08/2020 09:30 PM CEST"	""	""	""
"Breakfast"	"04/09/2020 08:00 AM CEST"	"04/09/2020 08:30 AM CEST"	""	""	""
"Dinner"	"04/09/2020 08:00 PM CEST"	"04/09/2020 09:00 PM CEST"	""	""	""
"Lunch"	"04/08/2020 01:00 PM CEST"	"04/08/2020 02:00 PM CEST"	""	""	""
"Breakfast"	"04/08/2020 08:00 AM CEST"	"04/08/2020 09:00 AM CEST"	""	""	""
"Lunch"	"04/09/2020 01:00 PM CEST"	"04/09/2020 02:00 PM CEST"	""	""	""
"Breakfast"	"04/10/2020 10:30 AM CEST"	"04/10/2020 11:30 AM CEST"	""	""	""
"Lunch"	"04/10/2020 01:00 PM CEST"	"04/10/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/10/2020 07:30 PM CEST"	"04/10/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/11/2020 10:00 AM CEST"	"04/11/2020 11:00 AM CEST"	""	""	""
"Lunch"	"04/11/2020 01:00 PM CEST"	"04/11/2020 02:30 PM CEST"	""	""	""
"Brekafast"	"04/12/2020 09:00 AM CEST"	"04/12/2020 10:00 AM CEST"	""	""	""
"Dinner"	"04/11/2020 08:00 PM CEST"	"04/11/2020 09:00 PM CEST"	""	""	""
"Lunch"	"04/12/2020 01:30 PM CEST"	"04/12/2020 02:30 PM CEST"	""	""	""
"Breakfast"	"04/13/2020 07:30 AM CEST"	"04/13/2020 08:30 AM CEST"	""	""	""
"Lunch"	"04/13/2020 01:00 PM CEST"	"04/13/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/13/2020 08:00 PM CEST"	"04/13/2020 09:00 PM CEST"	""	""	""
"Breakfast"	"04/14/2020 07:30 AM CEST"	"04/14/2020 08:30 AM CEST"	""	""	""
"Lunch"	"04/14/2020 01:00 PM CEST"	"04/14/2020 02:00 PM CEST"	""	""	""
"Dinner"	"04/14/2020 07:30 PM CEST"	"04/14/2020 08:30 PM CEST"	""	""	""
